id,gender,region,age
154,0,"zilinsky kraj, kysucke nove mesto",21
155,1,"zilinsky kraj, kysucke nove mesto",20
156,0,"zilinsky kraj, kysucke nove mesto",19
157,0,"zilinsky kraj, cadca",0
158,0,"zilinsky kraj, cadca",0
159,1,"zilinsky kraj, kysucke nove mesto",22
160,1,"zilinsky kraj, kysucke nove mesto",24
161,0,"zilinsky kraj, kysucke nove mesto",0
162,1,"zilinsky kraj, kysucke nove mesto",22
163,1,"zahranicie, zahranicie - kanada",22
164,1,"zahranicie, zahranicie - ostatne",0
165,1,"zilinsky kraj, kysucke nove mesto",23
166,0,"zilinsky kraj, kysucke nove mesto",21
167,0,"zahranicie, zahranicie - usa",18
168,0,"zilinsky kraj, kysucke nove mesto",0
169,0,"zahranicie, zahranicie - ostatne",0
170,0,"zilinsky kraj, zilina",19
171,0,"zilinsky kraj, kysucke nove mesto",18
172,1,"zilinsky kraj, kysucke nove mesto",20
173,0,"zahranicie, zahranicie - francuzsko",0
174,0,"kosicky kraj, michalovce",23
175,0,"nitriansky kraj, nitra",22
176,0,"nitriansky kraj, nitra",23
177,0,"kosicky kraj, michalovce",22
178,0,"zilinsky kraj, zilina",23
179,0,"kosicky kraj, michalovce",21
180,0,"kosicky kraj, michalovce",22
181,1,"bratislavsky kraj, bratislava - ruzinov",26
182,0,"kosicky kraj, michalovce",25
183,1,"kosicky kraj, michalovce",26
184,1,"zilinsky kraj, zilina",25
185,0,"kosicky kraj, michalovce",20
186,0,"kosicky kraj, michalovce",21
187,0,"zilinsky kraj, zilina",22
188,0,"zilinsky kraj, zilina",26
189,1,"bratislavsky kraj, bratislava - okolie",0
190,1,"zilinsky kraj, cadca",20
191,1,"zilinsky kraj, zilina",23
192,0,"banskobystricky kraj, brezno",22
193,0,"zilinsky kraj, martin",21
194,0,"kosicky kraj, kosice - okolie",0
195,1,"zilinsky kraj, cadca",0
196,0,"zahranicie, zahranicie - usa",15
197,1,"zilinsky kraj, zilina",22
198,1,"zilinsky kraj, martin",32
199,0,"zilinsky kraj, trstena",0
200,0,"banskobystricky kraj, brezno",20
201,0,"banskobystricky kraj, banska bystrica",22
202,1,"zilinsky kraj, bytca",24
203,0,"banskobystricky kraj, brezno",21
204,1,"banskobystricky kraj, brezno",22
205,1,"bratislavsky kraj, bratislava - vrakuna",22
206,1,"banskobystricky kraj, brezno",22
207,0,"banskobystricky kraj, banska bystrica",22
208,0,"zilinsky kraj, cadca",20
209,1,"banskobystricky kraj, brezno",22
210,0,"banskobystricky kraj, brezno",22
211,1,"banskobystricky kraj, brezno",22
212,0,"banskobystricky kraj, brezno",21
213,0,"banskobystricky kraj, brezno",21
214,1,"bratislavsky kraj, bratislava - ruzinov",0
215,1,"banskobystricky kraj, brezno",21
216,1,"bratislavsky kraj, bratislava - dubravka",0
217,0,"banskobystricky kraj, zvolen",22
218,1,"banskobystricky kraj, brezno",26
219,1,"banskobystricky kraj, brezno",22
220,1,"bratislavsky kraj, bratislava - ostatne",0
221,0,"banskobystricky kraj, brezno",22
222,1,"banskobystricky kraj, banska bystrica",27
223,1,"bratislavsky kraj, bratislava - stare mesto",0
224,1,"banskobystricky kraj, brezno",21
225,0,"banskobystricky kraj, brezno",22
226,0,"banskobystricky kraj, brezno",26
227,1,"banskobystricky kraj, brezno",0
228,1,"banskobystricky kraj, brezno",22
229,1,"banskobystricky kraj, brezno",21
230,0,"banskobystricky kraj, brezno",22
231,0,"banskobystricky kraj, brezno",22
232,0,"banskobystricky kraj, brezno",22
233,0,"zilinsky kraj, bytca",0
234,0,"banskobystricky kraj, brezno",21
235,0,"banskobystricky kraj, brezno",21
236,1,"zilinsky kraj, cadca",24
237,0,"zilinsky kraj, cadca",22
238,0,"zilinsky kraj, zilina",19
239,0,"banskobystricky kraj, krupina",11
240,0,"ceska republika, cz - praha",13
241,0,"zilinsky kraj, zilina",21
242,1,"zilinsky kraj, cadca",25
243,0,"zilinsky kraj, cadca",22
244,0,"zilinsky kraj, cadca",10
245,1,"zilinsky kraj, kysucke nove mesto",23
246,1,"zilinsky kraj, cadca",0
247,0,"zilinsky kraj, cadca",15
248,1,"zilinsky kraj, cadca",30
249,0,"zilinsky kraj, cadca",13
250,0,"zilinsky kraj, cadca",10
251,0,"zilinsky kraj, zilina",14
252,0,"zilinsky kraj, zilina",22
253,0,"zilinsky kraj, cadca",21
254,0,"trnavsky kraj, trnava",0
255,0,"zilinsky kraj, cadca",25
256,1,"zilinsky kraj, zilina",24
257,0,"trnavsky kraj, trnava",19
258,1,"trnavsky kraj, trnava",25
259,0,"zilinsky kraj, cadca",22
260,1,"zilinsky kraj, cadca",15
261,1,"zilinsky kraj, zilina",25
262,0,"zilinsky kraj, turzovka",21
263,1,"zilinsky kraj, zilina",18
264,0,"zahranicie, zahranicie - ostatne",22
265,1,"zilinsky kraj, cadca",22
266,1,"zilinsky kraj, kysucke nove mesto",23
267,1,"zilinsky kraj, kysucke nove mesto",28
268,1,"zilinsky kraj, cadca",22
269,1,"ceska republika, cz - ostravsky kraj",28
270,0,"zilinsky kraj, cadca",22
271,0,"zilinsky kraj, cadca",21
272,0,"zilinsky kraj, cadca",22
273,1,"zilinsky kraj, cadca",28
274,1,"zilinsky kraj, kysucke nove mesto",22
275,0,"zilinsky kraj, cadca",21
276,0,"zilinsky kraj, cadca",0
277,1,"zilinsky kraj, kysucke nove mesto",0
278,0,"zahranicie, zahranicie - ostatne",20
279,0,"zilinsky kraj, cadca",21
280,0,"zilinsky kraj, cadca",0
281,1,"presovsky kraj, svidnik",23
282,1,"zilinsky kraj, cadca",22
283,1,"zilinsky kraj, cadca",0
284,1,"zilinsky kraj, cadca",24
285,0,"zilinsky kraj, cadca",0
286,1,"zilinsky kraj, kysucke nove mesto",0
287,1,"zilinsky kraj, zilina",0
288,1,"zilinsky kraj, krasno nad kysucou",32
289,1,"trnavsky kraj, sered",15
290,1,"zilinsky kraj, cadca",23
291,0,"zilinsky kraj, cadca",0
292,1,"zahranicie, zahranicie - gb",25
293,0,"zilinsky kraj, cadca",21
294,1,"zilinsky kraj, kysucke nove mesto",24
295,0,"zilinsky kraj, cadca",0
296,0,"zilinsky kraj, zilina",0
297,1,"zilinsky kraj, zilina",35
298,0,"zilinsky kraj, kysucke nove mesto",21
299,1,"zahranicie, zahranicie - ostatne",0
300,1,"zilinsky kraj, zilina",19
301,1,"zilinsky kraj, zilina",0
302,1,"zilinsky kraj, zilina",24
303,1,"bratislavsky kraj, bratislava - petrzalka",0
304,1,"zilinsky kraj, dolny kubin",23
305,1,"zilinsky kraj, zilina",27
306,1,"zilinsky kraj, zilina",25
307,0,"banskobystricky kraj, brezno",23
308,0,"banskobystricky kraj, brezno",20
309,0,"banskobystricky kraj, brezno",22
310,1,"banskobystricky kraj, brezno",21
311,1,"banskobystricky kraj, banska bystrica",22
312,1,"banskobystricky kraj, banska bystrica",22
313,0,"banskobystricky kraj, brezno",21
314,0,"banskobystricky kraj, brezno",22
315,1,"banskobystricky kraj, brezno",22
316,0,"banskobystricky kraj, brezno",22
317,1,"zilinsky kraj, liptovsky mikulas",0
318,1,"banskobystricky kraj, brezno",22
319,1,"banskobystricky kraj, brezno",22
320,1,"banskobystricky kraj, banska bystrica",22
321,1,"banskobystricky kraj, brezno",23
322,1,"banskobystricky kraj, brezno",22
323,0,"ceska republika, cz - ustecky kraj",21
324,0,"bratislavsky kraj, bratislava - karlova ves",21
325,1,"banskobystricky kraj, brezno",23
326,1,"banskobystricky kraj, brezno",0
327,0,"banskobystricky kraj, brezno",21
328,0,"bratislavsky kraj, bratislava - okolie",0
329,1,"banskobystricky kraj, brezno",23
330,1,"banskobystricky kraj, brezno",23
331,0,"presovsky kraj, vranov nad toplou",22
332,1,"zilinsky kraj, turcianske teplice",22
333,0,"banskobystricky kraj, brezno",22
334,0,"banskobystricky kraj, brezno",22
335,0,"banskobystricky kraj, brezno",0
336,1,"banskobystricky kraj, brezno",22
337,1,"banskobystricky kraj, banska bystrica",0
338,0,"banskobystricky kraj, brezno",0
339,0,"banskobystricky kraj, brezno",22
340,1,"kosicky kraj, gelnica",0
341,1,"banskobystricky kraj, brezno",22
342,1,"zahranicie, zahranicie - gb",0
343,1,"banskobystricky kraj, brezno",23
344,0,"bratislavsky kraj, bratislava - ruzinov",22
345,0,"banskobystricky kraj, brezno",22
346,1,"banskobystricky kraj, brezno",21
347,0,"banskobystricky kraj, brezno",21
348,0,"presovsky kraj, bardejov",0
349,0,"zahranicie, zahranicie - ostatne",0
350,1,"banskobystricky kraj, brezno",0
351,0,"zahranicie, zahranicie - gb",25
352,0,"banskobystricky kraj, brezno",24
353,0,"banskobystricky kraj, zvolen",26
354,0,"banskobystricky kraj, brezno",0
355,1,"banskobystricky kraj, brezno",20
356,1,"banskobystricky kraj, brezno",26
357,0,"banskobystricky kraj, brezno",21
358,0,"banskobystricky kraj, brezno",22
359,0,"banskobystricky kraj, banska bystrica",21
360,0,"banskobystricky kraj, brezno",0
361,0,"banskobystricky kraj, brezno",0
362,0,"banskobystricky kraj, brezno",24
363,1,"zilinsky kraj, tvrdosin",29
364,0,"banskobystricky kraj, brezno",0
365,0,"banskobystricky kraj, ziar nad hronom",26
366,0,"banskobystricky kraj, ziar nad hronom",26
367,1,"banskobystricky kraj, brezno",26
368,1,"banskobystricky kraj, brezno",0
369,1,"banskobystricky kraj, brezno",25
370,1,"banskobystricky kraj, brezno",0
371,0,"banskobystricky kraj, brezno",25
372,0,"banskobystricky kraj, banska bystrica",26
373,1,"banskobystricky kraj, brezno",25
374,1,"banskobystricky kraj, brezno",23
375,0,"banskobystricky kraj, banska bystrica",19
376,0,"zilinsky kraj, zilina",21
377,0,"banskobystricky kraj, brezno",24
378,0,"banskobystricky kraj, brezno",0
379,1,"banskobystricky kraj, brezno",27
380,0,"zahranicie, zahranicie - gb",29
381,1,"banskobystricky kraj, brezno",24
382,0,"banskobystricky kraj, brezno",26
383,1,"banskobystricky kraj, brezno",24
384,1,"banskobystricky kraj, brezno",25
385,0,"banskobystricky kraj, banska bystrica",25
386,0,"banskobystricky kraj, brezno",0
387,0,"banskobystricky kraj, brezno",24
388,0,"kosicky kraj, spisska nova ves",18
389,0,"banskobystricky kraj, banska bystrica",29
390,0,"trenciansky kraj, dubnica nad vahom",25
391,0,"banskobystricky kraj, brezno",27
392,0,"banskobystricky kraj, brezno",20
393,1,"trnavsky kraj, senica",0
394,0,"banskobystricky kraj, brezno",27
395,0,"banskobystricky kraj, brezno",0
396,1,"banskobystricky kraj, brezno",34
397,0,"banskobystricky kraj, ziar nad hronom",26
398,1,"banskobystricky kraj, brezno",26
399,1,"trnavsky kraj, senica",22
400,1,"trnavsky kraj, skalica",25
401,0,"banskobystricky kraj, brezno",0
402,0,"banskobystricky kraj, brezno",26
403,1,"banskobystricky kraj, brezno",27
404,1,"banskobystricky kraj, brezno",27
405,1,"banskobystricky kraj, rimavska sobota",25
406,0,"banskobystricky kraj, rimavska sobota",0
407,0,"banskobystricky kraj, lucenec",24
408,0,"banskobystricky kraj, brezno",27
409,1,"banskobystricky kraj, brezno",41
410,1,"zahranicie, zahranicie - ostatne",0
411,0,"banskobystricky kraj, brezno",0
412,0,"zilinsky kraj, namestovo",26
413,0,"zilinsky kraj, cadca",27
414,0,"banskobystricky kraj, lucenec",27
415,1,"zilinsky kraj, kysucke nove mesto",20
416,0,"zilinsky kraj, kysucke nove mesto",19
417,0,"zilinsky kraj, cadca",25
418,1,"zilinsky kraj, kysucke nove mesto",25
419,0,"zilinsky kraj, cadca",0
420,1,"zilinsky kraj, cadca",27
421,0,"zilinsky kraj, cadca",24
422,0,"zilinsky kraj, cadca",17
423,0,"zilinsky kraj, cadca",19
424,0,"zilinsky kraj, cadca",24
425,0,"trenciansky kraj, puchov",0
426,0,"zilinsky kraj, zilina",0
427,0,"zilinsky kraj, zilina",21
428,0,"zahranicie, zahranicie - kanada",21
429,1,"zilinsky kraj, kysucke nove mesto",0
430,1,"zilinsky kraj, kysucke nove mesto",24
431,0,"zilinsky kraj, kysucke nove mesto",0
432,0,"zilinsky kraj, kysucke nove mesto",15
433,1,"zilinsky kraj, kysucke nove mesto",0
434,1,"zilinsky kraj, zilina",22
435,0,"zahranicie, zahranicie - ostatne",28
436,0,"zilinsky kraj, zilina",27
437,1,"zilinsky kraj, martin",27
438,0,"zilinsky kraj, martin",28
439,1,"zilinsky kraj, cadca",27
440,0,"zilinsky kraj, zilina",28
441,0,"zahranicie, zahranicie - gb",26
442,0,"zilinsky kraj, martin",22
443,1,"zilinsky kraj, martin",20
444,0,"zilinsky kraj, martin",27
445,0,"kosicky kraj, kosice - dargovskych hrdinov",27
446,1,"zilinsky kraj, ruzomberok",28
447,1,"kosicky kraj, gelnica",25
448,0,"zilinsky kraj, kysucke nove mesto",0
449,0,"zilinsky kraj, zilina",0
450,0,"zilinsky kraj, kysucke nove mesto",22
451,1,"zilinsky kraj, kysucke nove mesto",18
452,1,"zilinsky kraj, kysucke nove mesto",17
453,1,"zilinsky kraj, kysucke nove mesto",22
454,1,"zilinsky kraj, cadca",19
455,1,"zilinsky kraj, cadca",19
456,1,"zilinsky kraj, cadca",18
457,1,"zilinsky kraj, kysucke nove mesto",22
458,0,"zilinsky kraj, kysucke nove mesto",0
459,1,"zilinsky kraj, cadca",19
460,0,"zilinsky kraj, zilina",21
461,1,"zilinsky kraj, kysucke nove mesto",0
462,1,"zilinsky kraj, kysucke nove mesto",22
463,1,"zilinsky kraj, kysucke nove mesto",30
464,1,"zilinsky kraj, kysucke nove mesto",0
465,1,"zilinsky kraj, cadca",19
466,1,"zilinsky kraj, kysucke nove mesto",17
467,1,"zilinsky kraj, cadca",19
468,0,"zilinsky kraj, kysucke nove mesto",20
469,0,"zilinsky kraj, zilina",20
470,0,"zilinsky kraj, cadca",18
471,0,"zilinsky kraj, cadca",21
472,0,"zilinsky kraj, cadca",21
473,0,"zilinsky kraj, cadca",19
474,0,"zilinsky kraj, rajec",17
475,0,"zilinsky kraj, cadca",20
476,0,"zilinsky kraj, zilina",21
477,0,"zilinsky kraj, zilina",19
478,0,"zilinsky kraj, zilina",0
479,0,"zilinsky kraj, zilina",21
480,0,"zilinsky kraj, zilina",18
481,0,"zilinsky kraj, kysucke nove mesto",17
482,0,"zilinsky kraj, kysucke nove mesto",17
483,0,"zilinsky kraj, kysucke nove mesto",0
484,0,"zilinsky kraj, kysucke nove mesto",17
485,0,"zilinsky kraj, cadca",19
486,0,"zilinsky kraj, zilina",19
487,0,"zilinsky kraj, kysucke nove mesto",20
488,0,"zilinsky kraj, zilina",20
489,0,"zilinsky kraj, zilina",19
490,0,"zilinsky kraj, rajecke teplice",20
491,0,"zilinsky kraj, bytca",0
492,0,"zilinsky kraj, zilina",18
493,0,"zilinsky kraj, zilina",19
494,0,"zilinsky kraj, kysucke nove mesto",19
495,0,"zilinsky kraj, kysucke nove mesto",19
496,0,"zilinsky kraj, zilina",0
497,0,"zilinsky kraj, zilina",19
498,1,"zilinsky kraj, zilina",16
499,0,"zilinsky kraj, zilina",20
500,0,"zilinsky kraj, cadca",20
501,0,"zilinsky kraj, zilina",0
502,0,"zilinsky kraj, zilina",19
503,0,"zilinsky kraj, kysucke nove mesto",0
504,0,"zilinsky kraj, kysucke nove mesto",18
505,1,"zilinsky kraj, zilina",24
506,0,"zilinsky kraj, zilina",20
507,0,"zilinsky kraj, cadca",18
508,0,"zilinsky kraj, zilina",19
509,0,"zilinsky kraj, kysucke nove mesto",19
510,0,"zilinsky kraj, zilina",20
511,0,"zilinsky kraj, kysucke nove mesto",19
512,1,"zilinsky kraj, kysucke nove mesto",21
513,0,"zilinsky kraj, kysucke nove mesto",0
514,0,"zilinsky kraj, kysucke nove mesto",0
515,0,"zahranicie, zahranicie - ostatne",0
516,0,"zilinsky kraj, kysucke nove mesto",0
517,0,"zilinsky kraj, zilina",20
518,1,"zilinsky kraj, kysucke nove mesto",0
519,0,"zilinsky kraj, kysucke nove mesto",19
520,0,"zilinsky kraj, zilina",19
521,0,"zilinsky kraj, zilina",17
522,0,"zilinsky kraj, zilina",18
523,0,"zilinsky kraj, cadca",19
524,0,"zilinsky kraj, cadca",0
525,0,"zilinsky kraj, zilina",20
526,0,"zilinsky kraj, zilina",19
527,0,"zilinsky kraj, rajecke teplice",20
528,0,"zilinsky kraj, zilina",0
529,1,"bratislavsky kraj, bratislava - okolie",22
530,0,"zilinsky kraj, bytca",19
531,0,"zilinsky kraj, kysucke nove mesto",21
532,0,"zilinsky kraj, zilina",0
533,0,"zilinsky kraj, zilina",21
534,0,"zilinsky kraj, kysucke nove mesto",0
535,0,"zilinsky kraj, kysucke nove mesto",21
536,1,"zilinsky kraj, zilina",0
537,1,"zilinsky kraj, zilina",0
538,0,"zilinsky kraj, kysucke nove mesto",0
539,0,"zilinsky kraj, zilina",20
540,0,"zilinsky kraj, zilina",20
541,0,"zilinsky kraj, zilina",17
542,0,"zilinsky kraj, zilina",20
543,0,"zahranicie, zahranicie - usa",20
544,0,"zilinsky kraj, zilina",0
545,0,"zilinsky kraj, bytca",19
546,0,"zilinsky kraj, cadca",20
547,0,"zilinsky kraj, zilina",0
548,1,"zilinsky kraj, zilina",17
549,0,"zilinsky kraj, zilina",16
550,0,"zilinsky kraj, zilina",0
551,0,"zilinsky kraj, rajecke teplice",19
552,0,"zilinsky kraj, bytca",19
553,0,"zilinsky kraj, zilina",19
554,0,"zilinsky kraj, cadca",0
555,0,"zilinsky kraj, namestovo",19
556,0,"zilinsky kraj, bytca",20
557,0,"zahranicie, zahranicie - ostatne",0
558,0,"zilinsky kraj, kysucke nove mesto",0
559,0,"zilinsky kraj, zilina",18
560,0,"zilinsky kraj, zilina",0
561,0,"zilinsky kraj, zilina",24
562,0,"zilinsky kraj, zilina",0
563,0,"zilinsky kraj, bytca",0
564,0,"zilinsky kraj, kysucke nove mesto",18
565,1,"zilinsky kraj, zilina",21
566,0,"zahranicie, zahranicie - ostatne",0
567,0,"zilinsky kraj, cadca",19
568,0,"zilinsky kraj, zilina",0
569,0,"zilinsky kraj, zilina",0
570,0,"zilinsky kraj, zilina",0
571,1,"zilinsky kraj, bytca",21
572,0,"zilinsky kraj, zilina",21
573,0,"zilinsky kraj, zilina",0
574,0,"zilinsky kraj, bytca",0
575,0,"zilinsky kraj, zilina",19
576,0,"zilinsky kraj, kysucke nove mesto",19
577,0,"zilinsky kraj, zilina",0
578,0,"zilinsky kraj, zilina",0
579,0,"zilinsky kraj, zilina",22
580,0,"zilinsky kraj, zilina",0
581,0,"zilinsky kraj, bytca",0
582,1,"zilinsky kraj, kysucke nove mesto",16
583,0,"zilinsky kraj, zilina",21
584,0,"zilinsky kraj, zilina",23
585,0,"zilinsky kraj, zilina",21
586,1,"zilinsky kraj, rajec",21
587,0,"zilinsky kraj, zilina",19
588,0,"zilinsky kraj, zilina",23
589,0,"zilinsky kraj, zilina",20
590,0,"zilinsky kraj, kysucke nove mesto",21
591,0,"zilinsky kraj, kysucke nove mesto",21
592,1,"zilinsky kraj, zilina",21
593,0,"zahranicie, zahranicie - australia",20
594,0,"zilinsky kraj, zilina",21
595,1,"zilinsky kraj, zilina",19
596,0,"zilinsky kraj, kysucke nove mesto",21
597,0,"zilinsky kraj, zilina",19
598,0,"zilinsky kraj, kysucke nove mesto",21
599,0,"zilinsky kraj, zilina",19
600,0,"zilinsky kraj, kysucke nove mesto",0
601,1,"zilinsky kraj, kysucke nove mesto",17
602,0,"zilinsky kraj, zilina",23
603,0,"zilinsky kraj, cadca",23
604,0,"zilinsky kraj, zilina",20
605,0,"zilinsky kraj, kysucke nove mesto",17
606,0,"zilinsky kraj, kysucke nove mesto",23
607,0,"zilinsky kraj, zilina",20
608,0,"zilinsky kraj, zilina",20
609,0,"zilinsky kraj, zilina",0
610,0,"zilinsky kraj, kysucke nove mesto",21
611,0,"zilinsky kraj, zilina",22
612,0,"zilinsky kraj, kysucke nove mesto",23
613,1,"zilinsky kraj, kysucke nove mesto",19
614,0,"zilinsky kraj, kysucke nove mesto",0
615,0,"zilinsky kraj, zilina",20
616,0,"zilinsky kraj, kysucke nove mesto",18
617,0,"zilinsky kraj, kysucke nove mesto",21
618,1,"zilinsky kraj, bytca",21
619,0,"zilinsky kraj, zilina",20
620,0,"zilinsky kraj, bytca",20
621,1,"zilinsky kraj, zilina",23
622,0,"zilinsky kraj, zilina",20
623,0,"zilinsky kraj, zilina",0
624,0,"zilinsky kraj, cadca",18
625,1,"zilinsky kraj, kysucke nove mesto",24
